id,title,album,artist_name,genre,year,length,bitrate,lyrics,album_id,artist_id
3102,Save Us All,Our Bright Future,Tracy Chapman,R&B,2008,225593,192000,,917,562
3103,Where I Sleep,Our Version of Events (Special Edition),Emeli Sandé,Pop,2012,131500,320000,,497,421
3104,She Used To Love Me a Lot,Out Among the Stars,Johnny Cash,Country,2014,189779,320000,,88,39
3105,The Last Time,Out Of Our Heads (US),The Rolling Stones,Rock & Roll,1965,223608,198862,,1077,614
3106,Collard Greens (Feat. Kendrick,Oxymoron (Deluxe Edition),Schoolboy Q,Hip-Hop,2014,299990,274735,,1209,2645
3107,Dumpin',Pac's Life,2Pac,Hip-Hop,2006,267893,320000,,172,166
3108,Anthem of Our Dying Day,Page Avenue,Story of the Year,Alternative Rock,2003,221389,320000,,52,23
3109,About The Money (Ft. Young Thug),Paperwork The Motion Picture (Deluxe Version),T.I.,Hip-Hop,2014,306774,256000,,345,216
3110,Grow Up,Paramore,Paramore,Alternative Rock,2013,232852,320000,,49,21
3111,Grow Up,Paramore Self-Titled (Deluxe),Paramore,Rock,2014,231026,320000,,1036,21
3112,Thank You Girl,"Past Masters, Vol. 1",The Beatles,Pop,1988,124473,192000,,626,458
3113,Paperback Writer,"Past Masters, Vol. 2",The Beatles,Pop,1988,138971,192000,,627,458
3114,Sing,Pentatonix,Pentatonix,A Cappella,2015,177293,320000,,6,3
3115,How Many Times,Peter Cetera,Peter Cetera,R&B,1986,263679,192000,,866,544
3116,“God Is Love”,"Piano, Sing To Jah",Watch Tower,Instrumentals,2009,174428,192000,,411,378
3117,Someone,Piece By Piece (Deluxe Version),Kelly Clarkson,R&B,2015,221478,192000,,796,437
3118,Did It On 'em,Pink Friday,Nicki Minaj,Hip-Hop,2010,240626,128000,,318,239
3119,I Am Your Leader (ft Cam'ron & Rick Ross),Pink Friday Roman Reloaded,Nicki Minaj,Hip-Hop,2012,213760,223062,,319,239
3120,I Am Your Leader (ft Rozzay),Pink Friday Roman Reloaded,Nicki Minaj,Hip-Hop,2012,223843,48000,,319,239
3121,Hell Yeah (ft Parker),"Pink Friday Roman Reloaded, The Re-Up",Nicki Minaj,Hip-Hop,2012,252150,320000,,320,239
3122,Roman's Revenge,"Pink Friday Roman Reloaded, The Re-Up",Nicki Minaj,Hip-Hop,2012,276271,64005,,320,239
3123,Put It On Ya,Pink Friday The Lost Tape,Nicki Minaj,Hip-Hop,2012,68568,320000,,321,239
3124,Don't Let Me Be Lonely,Pioneer (Deluxe),The Band Perry,Country,2013,251297,320000,,103,46
3125,Autumn Leaves,Play,Bobby McFerrin & Chick Corea,Jazz,1990,705821,320000,,415,381
3126,Not Going Nowhere,Playlist,Babyface,R&B,2007,240705,128000,,674,475
3127,Not Going Nowhere,Playlist,Babyface,R&B,2007,240705,128000,,674,475
3128,Anna (Go to Him),Please Please Me,The Beatles,Pop,1963,178216,320000,,628,458
3129,Straight Up,Pluto,Future,Hip-Hop,2012,178024,278561,,240,221
3130,First Class Flights,Pluto 3D,Future,Hip-Hop,2012,214047,320000,,241,221
3131,I Wanna Take Forever Tonight,Pop Masters Faithfully,Peter Cetera,R&B,2005,277446,192000,,867,544
3132,Ain't No Big Deal ['97 Edit],Pre Madonna,Madonna,Pop,1997,242840,320000,,534,441
3133,Don't Let It Pass You By,Present Arms,UB40,Reggaeton,1981,465084,320000,,955,576
3134,Read Your Mind,Private Room,Avant,R&B,2003,264424,320000,,666,473
3135,Glass of Water,Prospekt's March (EP),Coldplay,Alternative Rock,2008,284786,320000,,19,10
3136,NAPAL BAJI,Psy 7th Album,PSY,Pop,2015,234684,214449,,582,451
3137,Love Again,"PTX, Vol. 2",Pentatonix,Pop,2013,198635,128000,,573,3
3138,Ndani Ama Nje,Pulpit Kwa Street,Juliani,Swahili,2011,241162,320000,,1191,2520
3139,Royals,Pure Heroine,Lorde,Pop,2013,191342,320000,,519,439
3140,Soon Forgotten,Purpendicular,Deep Purple,Rock,1996,288585,160000,,989,588
3141,What Do You Mean,Purpose (Deluxe),Justin Bieber,Pop,2015,205061,320000,,512,435
3142,Stagefright,Pyromania,Def Leppard,Indie Folk,1983,224861,128000,,382,287
3143,"My Moment (feat. 2 Chainz, Meek Mill & Jeremih)",Quality Street Music,DJ Drama,Hip-Hop,2012,201012,320000,,203,182
3144,Hold On Be Strong,R U Still Down (Remember Me),2Pac,Hip-Hop,1997,251170,320000,,173,166
3145,R U Still Down (Remember Me),R U Still Down (Remember Me),2Pac,Hip-Hop,1997,247617,320000,,173,166
3146,Let Me Love You (Until You Learn to Love Yourself),R. E. D.,Ne-Yo,R&B,2012,251689,225263,,858,543
3147,Okie from Muskogee,Ramblin' Man,Hank Williams III,Country,2014,132284,320000,,78,36
3148,It S A Miracle,Rango (2011)   Soundtrack,Hans Zimmer,Soundtrack,2011,118021,192000,,1110,719
3149,Hard (Feat. Jeezy),Rated R,Rihanna,R&B,2009,250827,320000,,887,452
3150,Rockstar 101 (Chew Fu Teachers Pet Mix),Rated R (Remixed),Rihanna,R&B,2010,269061,320000,,888,452
3151,$ervin Dat Raww ,Rawwest Nigga Alive,Tyga,Hip-Hop,2016,172434,320000,,356,279
3152,Ray Of Light,Ray Of Light,Madonna,Pop,1998,320762,320000,,535,441
